4.20076	7.30324	-0.627809	-0.707288	1	1.10911	2	
-1.11899	5.10605	1.48105	-0.0497655	5	1.51601	3	
1.65847	6.17709	-0.883599	-0.179552	1	1.12756	2	
1.25486	6.15168	-1.00901	-0.0635357	1	1.12756	2	
6.59972	5.81325	-1.96203	-0.115986	1	1.91086	4	
5.88209	5.67733	-1.79407	-0.339798	1	1.91086	4	
5.10954	5.62595	-1.93137	-0.128434	1	1.91086	4	
12.8314	4.59866	-0.0032025	-0.0964903	3	0.0545689	6	
12.8301	4.56005	-0.003205	-0.096518	3	0.0545689	6	
10.2865	6.11906	-0.970747	0.348051	3	1.09959	7	
10.0935	6.24877	-0.482603	0.324277	3	1.09959	7	
9.33971	6.49112	-0.816569	-0.15276	2	1.12624	7	
8.2112	6.22954	-1.15444	-0.141591	2	1.12624	7	
7.78355	6.12891	-1.06914	-0.251573	2	1.12624	7	
10.8306	6.91564	-1.06535	-0.028241	2	1.12624	7	
8.67298	6.28618	-0.832751	-0.156755	2	1.12624	7	
9.44623	5.27723	-1.02243	-0.259405	3	1.10083	7	
12.142	7.25319	-1.00141	0.643856	1	1.1709	8	
11.839	7.19761	-0.757467	-0.138953	1	1.1709	8	
11.0093	7.48959	-1.04671	0.270381	1	1.1709	8	
10.5841	7.55992	-1.06289	0.175843	1	1.1709	8	
10.3424	7.42039	-0.60421	-0.348832	1	1.1709	8	
9.70597	7.42624	-1.59113	0.0146103	1	1.1709	8	
11.2522	6.8103	-0.950643	0.15764	1	1.20279	8	
10.829	6.87653	-1.05787	0.165575	1	1.20279	8	
8.4312	5.60536	-1.04165	-0.0549635	1	1.22012	8	
7.79803	5.59249	-1.58291	-0.0321892	1	1.22012	8	
2.21624	4.99398	-1.23119	-0.0694605	1	1.22012	8	
12.1351	7.06167	-1.37122	0.665865	1	1.47429	8	
11.6879	7.20817	-1.11789	0.366262	1	1.47429	8	
11.0384	7.25359	-1.62379	0.113549	1	1.47429	8	
10.5401	7.44549	-1.24577	0.479737	1	1.47429	8	
0.39359	3.6348	-1.40388	0.136772	2	1.45732	15	
-0.187024	3.55145	-1.45153	-0.208381	2	1.45732	15	
4.94289	5.16064	-1.37274	-0.055986	1	1.41275	15	
9.43737	6.8461	-1.58438	0.496256	4	1.63917	20	
10.9072	5.92846	-1.4532	-0.121269	2	1.35371	25	
10.2848	6.07943	-1.55592	0.377434	2	1.35371	25	
9.72685	6.10882	-1.39496	0.073482	2	1.35371	25	
4.36155	5.48526	-1.40607	-0.264471	2	1.35371	25	
11.7317	5.34014	-1.3976	0.54529	2	1.28903	25	
11.155	5.32562	-1.44193	-0.0363055	2	1.28903	25	
6.20604	5.11393	-1.33341	-0.160655	2	1.28903	25	
12.1462	5.2834	-1.02752	0.0437705	3	1.44983	25	
10.6272	4.83095	-1.48547	-0.539805	3	1.60128	26	
